Title;Author;ISBN;PublishYear;Publisher;Genre;Label
The Rise and Fall of the Invisible Region;Marvin Sims;4673872402675;1949;Gallimard, Editions;mystery;0
Muttering the Cagey Clothes;Uriah Chang;3224471350724;1989;Santillana USA Pub Co Inc;fantasy;0
The Legend of the Former Paper;Kira Burke;8015037432154;1928;Schocken Books;fantasy;0
How to Handle a Microwave;Bethany Diaz;8439235815448;1981;1ST WORLD LIBRARY;romance;0
The power-house;John Buchan;1842327844;1916;Polygon;mystery;1
Memoirs of a Confused Instance;Felipe Blackwell;5763850838232;1949;Western Pub. Co.;fantasy;0
Killing floor;Lee Child;9780754022282;1997;Bantam Books;mystery;1
Ambitious Mixture: A Memoir;Natasha Boone;6797610387630;1953;Wilkins, Carter & Co.;thriller;0
Not So Meet Cute;Meghan Quinn;9781405955782;2021;Quinn, Meghan;romance;1
His Last Bow [8 stories];Arthur Conan Doyle;9780786194179;1917;ReadHowYouWant.com, Limited;mystery;1
Marriage on the Rebound;Michelle Reid;1488052484;1997;Mills & Boon;romance;1
Bought;Sarah Morgan;9781408931530;2008;Harlequin Mills & Boon, Limited;romance;1
The black echo;Michael Connelly;0316153613;1992;Little, Brown and Company;mystery;1
Silver on the Tree (The Dark Is Rising #5);Susan Cooper;0689840330;1977;Aladdin Paperbacks;fantasy;1
The First Battle;Erin Hunter;9780606381635;2014;Beltz GmbH, Julius;fantasy;1
Brittle Bondage;Anne Mather;9780373117222;1994;Harlequin Mills & Boon Ltd;romance;1
Poison in the Pen (Miss Silver #29);Patricia Wentworth;9781258799755;1955;Rehak, David;mystery;1
How to Stage a Length;Graysen Archer;2159841291788;1912;Sheba Blake Publishing;mystery;0
Use of Weapons;Iain M. Banks;9780708870228;1990;Hachette Book Group;fantasy;1
A stable for nightmares;Joseph Sheridan Le Fanu;9798726292021;1896;New Amsterdam Book Co.;fantasy;1
Hour of the Witch;Christopher A. Bohjalian;0593396510;2021;Random House Audio;thriller;1
Memoirs of a Educated Yeti;Zander Peters;2884784010576;1956;Meredith Press;romance;0
Voskresenīe;Лев Толстой;1374823759;1899;ReadHowYouWant.com, Limited;fiction;1
King Richard III;William Shakespeare;0521042070;1597;Turtleback Books Distributed by Demco Media;fiction;1
Defending Jacob;William Landay;1455113557;2012;Orion Publishing Group, Limited;thriller;1
Chronicles of Educated Spaceship Kingdom;Miller McKenzie;2212328111221;1955;Laffont;thriller;0
A Guide to Withdrawing the Zombie;Yusuf Hines;4185772775726;1955;Familius LLC;thriller;0
Wildfire at Midnight;Mary Stewart;9781444727098;1956;Hodder & Stoughton Canada;mystery;1
The Secret Mistress;Emma Darcy;0263162052;1999;Mills & B.;romance;1
Escuela De Ilusiones;Maeve Binchy;0754010104;1996;Pearson Elt;romance;1
Wacky Family: A Memoir;Amalia Patel;4347684010360;1975;Waveland Press;thriller;0
Postmortem;Patricia Cornwell;9789578319769;1990;Fa xing Cheng bang wen hua;mystery;1
Adventures in Attention Land;Kingsley Salinas;5125800158316;2007;Larousse Kingfisher Chambers;romance;0
Dark Prince;Christine Feehan;986165237X;1999;Brand: Titania;romance;1
The Drowned World;J. G. Ballard;9780881843248;1962;Penguin (Non-Classics);fantasy;1
Walk the Wire;David Baldacci;1478999276;2020;Hachette Book Group USA;thriller;1
The Blue Sword;Robin McKinley;9780441012008;1982;Greenwillow Books;fantasy;1
The Secret of the Mole;Imani Calderon;7032210017883;1921;Moorside Press;thriller;0
So long, and thanks for all the fish;Douglas Adams;9780795328206;1984;Random House Audio;fiction;1
Releaseing the Abnormal Interaction;Joshua Buchanan;8249279540183;1991;Red and Black Publishers;fiction;0
A Betty Neels Christmas;Betty Neels;9780373835348;2002;Harlequin;romance;1
Possessive Phone: A Memoir;Chris Person;7575297023726;2014;Ren min wen xue chu ban she chu ban;fiction;0
A Guide to Stageing the Importance;Debra Fuller;1175894575773;1906;SUSAETA;romance;0
And Then There Were None;Agatha Christie;9780671754013;1939;Hachette Jeunesse;mystery;1
Chronicles of Ambitious Ability Kingdom;Mylah Stark;5688955996287;2025;Brooking International;mystery;0
Escape from the Juvenile Toast;Lynn Tyler;2751993875321;2005;Dessain et Tolra;romance;0
The Moon-Spinners;Mary Stewart;9781444720488;1962;M.S. Mill and;thriller;1
The Chronicles of the Abnormal Version;Keily McKinney;8838112386174;1934;POL;fiction;0
The Last Inner Steak;Jaylah Winters;2550732422737;1994;Uitgeverij De Harmonie;mystery;0
How to Select a Hearing;April Hines;7967763452925;1975;Uitgeverij Bert Bakker;fantasy;0
The Rise and Fall of the Flimsy Mole;Molly Conner;2002826993815;1971;Destino Ediciones;fantasy;0
How to Defeat a Mole;Calum Beil;5717588016388;2018;Printed at the Golden Cockerel Press, London, for The Limited Editions Club, New York;romance;0
My Life as a Wacky History;Alaiya Erickson;2613679486761;1968;Macmillan.;thriller;0
The Cobweb;Neal Stephenson;9781299070080;1998;Spectra;thriller;1
A Guide to Building the Refrigerator;Wesley Cantrell;2887621662668;1933;Literart Yay?nlar?;romance;0
All the President's Men;Carl Bernstein;0704311402;1974;Warner Books;fiction;1
Length and the Adjoining Quest;Moshe Galindo;1713163642330;1943;Thalassic Press;mystery;0
Climate and the Spotty Quest;Dennis McCoy;9040958828361;1952;Penguin in association with Bodley Head;thriller;0
The Rise and Fall of the Innate Gate;Theodore Magana;8703152887305;1960;Newport Pub;fiction;0
The Rise and Fall of the Mysterious Refrigerator;Gary Estrada;8271598304963;1936;BHC Press/Signature;romance;0
Diary of a Spotty Jeep;Myla Luna;7414128408127;2019;Routledge and Kegan Paul;fiction;0
The X-Files;Kevin J. Anderson;0061771783;1995;Esoptron;fantasy;1
Chronicles of Golden History Kingdom;Jolene Schultz;8488920899084;2008;Chelsea House;fantasy;0
Dangerous Temptation;Anne Mather;1472099362;1997;Mira;romance;1
Diary of a Shiny Zombie;Aubree Golden;5877751553426;1940;Printed by Garamond Press for the members of the Limited Editions Club;fiction;0
A Little Moonlight;Betty Neels;9780263811704;1991;Harlequin Enterprises, Limited;romance;1
Tender Assault;Anne Mather;146034832X;1993;Harlequin Enterprises ULC;romance;1
Energy and the Innate Quest;Mathias Schmitt;3486058251342;1907;Ullstein Verlag;romance;0
The Secret of the Steak;Kieran Burnett;3479398174869;1930;D. Appleton-Century company, incorporated;fiction;0
My Life as a Extra-small History;Jensen Dunlap;6620298768461;1993;Berkeley;mystery;0
Whisper of Darkness;Anne Mather;9780263096606;1980;Harlequin;romance;1
Diary of a Harsh Death;Jad Wheeler;4509909520838;1914;L.J. VEEN KLASSIEK;fantasy;0
Stone cold;C. J. Box;9780425272824;2014;Head of Zeus;thriller;1
Sidney Sheldon's Reckless;Tilly Bagshawe;0062304062;2015;HarperCollins Publishers;thriller;1
Tales of a Juvenile World;Dexter Bowman;7244692975656;1984;Scott, Foresman & co.;mystery;0
The Hardy boys;Franklin W. Dixon;9780671919474;1988;Pocket Books;mystery;1
Glinda of Oz;L. Frank Baum;9798744193423;1920;Creative Media Partners, LLC;thriller;1
The Cricket on the Hearth;Charles Dickens;9781576460993;1846;Start Publishing LLC;romance;1
The Curse of the Twisted Attention;Devin Conner;5219007470169;1918;Palazzo Editions;fantasy;0
My Life as a Adjoining Refrigerator;Myles Spencer;1034214903925;1961;Protea Boekhuis;mystery;0
The Last Educated Magazine;Leland Ball;6915528562883;1933;Brand: Newmarket Press;fiction;0
The King in Yellow;Robert W. Chambers;9781497603738;1895;Valdemar;fiction;1
The Power of Darkness;Edith Nesbit;9798711938309;2006;Ulverscroft Softcover;fiction;1
Length and the Tenuous Quest;Fallon Wilson;1160090826748;1953;Debolsillo Mexico;fantasy;0
The Blue Fairy Book;Andrew Lang;9781557424402;1889;Start Publishing LLC;fantasy;1
A Guide to Uncovering the Family;Seven Solomon;1227672420436;1959;Hotsaʼat Ḳupat ha-sefer;fantasy;0
The Vanished Messenger;Edward Phillips Oppenheim;9798698252481;1914;BookSurge Classics;mystery;1
Cell;Stephen King;9781846177682;2006;AST;fantasy;1
A Stranger at Green Knowe (Green Knowe Chronicles);Lucy M. Boston;9780606256520;1961;Brand: Demco Media;fantasy;1
A Guide to Enableing the Election;Amias Villarreal;1319863081171;2022;Emece Spanish;fantasy;0
Loyalty in death;Nora Roberts;9781423337225;1999;imusti;thriller;1
Diary of a Imaginative Engineering;Joe Robinson;5872375311782;2003;Wilhelm Goldmann Verlag;fantasy;0
Toliver's Secret;Esther Wood Brady;0780728424;1976;Random House Children’s Books;mystery;1
Master of the Game;Sidney Sheldon;1558001018;1982;NXB Văn học;thriller;1
The book of M;Peng Shepherd;9780008225643;2018;HarperCollins Publishers;thriller;1
Leaving Time;Jodi Picoult;0525492828;2014;Hodder Paperback;mystery;1
Only pleasure;Lora Leigh;0312368739;2009;St. Martin's Griffin;romance;1
How to Encounter a Clothes;Braylon Buchanan;4987753472131;1986;Aṅkura Prakāśanī;thriller;0
Secrets of the Nile;Mildred Augustine Wirt Benson;9780671502904;1995;Pocket Books;mystery;1
Memoirs of a Dancing Ability;Sofia Villalobos;1457537037020;2024;Zmora-Bitan;thriller;0
Broken Wings;V. C. Andrews;9032509497;2003;Pocket Star Books;thriller;1
The Fall of the House of Usher;Edgar Allan Poe;0426202473;1839;Audiocite;fiction;1
Memoirs of a Stupendous Assistant;Cristian Marin;4257208560482;1967;Townsend Press;thriller;0
No man's land;David Baldacci;1538713519;2016;Pan Books;thriller;1
Rock Paper Scissors;Alice Feeney;9781250875617;2021;HarperCollins Publishers Limited;thriller;1
My Life as a Triumphant Robot;Tony Proctor;7573909075130;1981;Templar Publishing;fiction;0
Beowulf;Rosemary Sutcliff;0140302549;1961;Heinemann Educational;fantasy;1
The Rise and Fall of the Juvenile Spaceship;Orlando Stewart;3088427886010;1926;Orchises;fiction;0
Bargain Wife;Mary Burchell;9780373022908;1979;Harlequin;romance;1
Polar Star;Martin Cruz Smith;9780896219816;1989;Zeta Bolsillo;mystery;1
Journey to the Curious Context;Iliana Richard;1323182845935;1911;HarperCollins Publishers,Inc;romance;0
Robert Ludlum’s The Bourne Ascendancy;Eric Van Lustbader;9781478979531;2014;Grand Central Publishing;thriller;1
Neuromancer;William Gibson;6055532662;1984;Aleph;fiction;1
The Legend of the Impartial King;Ivan Phillips;8846001555202;1981;Samphire Press;fantasy;0
My Life as a Bustling Length;Judith Cannon;3392310659496;1961;Edmund Ward;fiction;0
The rescue;Kathryn Lasky;8365122510;2004;HarperCollins Publishers Limited;fantasy;1
The Wasteful Literature;Daxton Robbins;3952748227221;1924;Berkley Pub. Corp.;fantasy;0
The Girl Who Played With Fire;Stieg Larsson;9780143170136;2009;Penguin Canada;thriller;1
Eona;Alison Goodman;9780552572163;2011;Blanvalet Taschenbuch Verlag;fantasy;1
The Legend of the Wasteful Responsibility;Joelle Dennis;4538841813670;1967;GALLIMARD JEUNE;fiction;0
Dark Lover;J. R. Ward;9780451216953;2005;New American Library;romance;1
Tales of a Hanging Affair;Zyaire Terry;4122011204985;1923;Zhi yang chu ban she;mystery;0
The Legend of the Crooked Family;Kensley Macdonald;1399240613308;1968;Macmillan Company of Canada;thriller;0
The Curse of the Impartial Mom;Frida Patrick;7946689242029;1976;Tea;romance;0
Sold to the Enemy;Sarah Morgan;9781460303504;2013;Mills Boon;romance;1
Journey to the Intriguing Decision;Celine Harrell;6234958623635;2018;Harcourt, Brace Jovanovich;romance;0
Journey to the Consistent Robot;Milan Floyd;8750964476507;2016;CIHM (George J McLeod);fantasy;0
The Time Machine;H. G. Wells;9781548217082;1895;Lulu.com;fantasy;1
Ben Hur;Lew Wallace;1934648205;1800;Harper;fiction;1
The God of Small Things;Arundhati Roy;0679457313;1997;Zysk i S-ka Wydawn.;romance;1
King of Foxes;Raymond E. Feist;9783442243099;2003;EOS;fantasy;1
Kennedys hjärna;Henning Mankell;2757816357;2005;TusQuets;thriller;1
Sense and Sensibility;Jane Austen;1587264048;1811;Grove/Atlantic, Incorporated;fiction;1
A Guide to Discovering the Concept;Zahra Moon;9275767167886;2008;White Press;fiction;0
The Legend of the Amazing History;Brooklyn Sutton;9943962184561;1905;Bastei Lubbe;romance;0
Escape from Mr. Lemoncello's Library;Chris Grabenstein;0147520134;2015;Listening Library (Audio);mystery;1
The broken girls;Simone St. James;3442488222;2018;Goldmann;thriller;1
Diary of a Handy Possibility;Jeremiah Lawson;6867570594624;2024;HarperCollins Publishers;mystery;0
The Secret of the Robot;Briar Sullivan;5524426114378;1923;Leyenda;mystery;0
A Guide to Muttering the Foundation;Dylan Miller;4562460738109;1945;Wydawnictwo Dolnoslaskie;fiction;0
Truly Devious;Maureen Johnson;0062821954;2018;Poradnia K;mystery;1
Expecting the Invisible Outcome;Destiny Trujillo;5662739489624;2014;John Lane The Bodley Head;romance;0
Charade;Sandra Brown;9785699821730;1994;Grand Central Publishing;thriller;1
Mona Lisa Overdrive;William Gibson;0007381530;1987;Voyager;fiction;1
The Last Triumphant Contract;Judah Schaefer;1545235290432;1956;Hackett Pub. Co.;fiction;0
The Rise and Fall of the Mysterious Article;Talia McCarthy;6640649706656;1966;Everyman's Library];fiction;0
Crooked Engineering: A Memoir;George Murphy;8970112377371;1946;Yhd;thriller;0
Escape from the Triumphant Wizard;Everlee Brennan;2564787884955;1936;Norton;thriller;0
My Life as a Oceanic Assistant;Jasmine Rollins;3637511194320;1963;Coward - McCann, Inc.;romance;0
Adventures in Context Land;Romeo Rowland;5775272735148;1940;Andres Bello;mystery;0
Memoirs of a Innate Climate;Houston Villegas;9088244704318;2009;Irvington Publishers;romance;0
The Rise and Fall of the Wasteful Concept;Averi Chen;1277354221204;1913;J. M. Dent;romance;0
The Scarlet Letter;Nathaniel Hawthorne;9781847494214;1850;Turtleback Books Distributed by Demco Media;romance;1
Dominateing the Quirky Contract;Jay Donaldson;4493154995679;1960;Canguro editore;thriller;0
Memoirs of a Lucky Disk;Stefan Donaldson;9841328447083;1966;Bruna;romance;0
Enjoying the Bent Penguin;Paxton Richardson;6177975534642;1912;Lovell, Coryell & Co.;mystery;0
Chronicles of Ambitious Region Kingdom;Kadence Wilkinson;3769841841799;1989;Bedford/St. Martin's;mystery;0
Journey to the Beneficial Responsibility;Brynn Boone;8378228806013;1955;Editorial Planeta, S.A. (Destino);fantasy;0
The Secret of the Interaction;Frank Acosta;3532637643643;1950;Allen and Unwin;mystery;0
No place like home;Mary Higgins Clark;2253116351;2005;Simon & Schuster Audio;thriller;1
The Pursuit;Johanna Lindsey;0739424661;2002;William Morrow;romance;1
Adventures in Clothes Land;Harper Ellison;5301225074172;1923;Luitingh-Sijthoff;mystery;0
The Rise and Fall of the Beneficial History;Jared Day;9242426257616;1920;D.C. Heath & Co.;romance;0
Memoirs of a Extra-small Microwave;Ray Simon;6119791978136;1946;Fawcett Publications, Inc.;romance;0
Addicted To You;Krista Ritchie;9780593549476;2013;Penguin Publishing Group;romance;1
The Secret of the Attention;Lyle Moreno;1215275945912;1975;Carey, Lea and Blanchard;fiction;0
Rum Punch;Elmore Leonard;9781407217093;1992;Phoenix (an Imprint of The Orion Publishing Group Ltd );mystery;1
The Chronicles of the Wasteful Throat;Michael Combs;6520539952442;1952;Antique Collectors Club Dist A/C;fantasy;0
Meg;Steve Alten;1250764238;2011;Tom Doherty  associates;thriller;1
Friendly Paper: A Memoir;Iris Ellison;8133999770738;1904;Pocket (FR);fantasy;0
My Life as a Hospitable Mom;Alonso Murillo;4098273550661;1957;The Reilly & Britton co.;fiction;0
Suzanne's diary for Nicholas;James Patterson;9783404147588;2001;Bastei-Verlag Gustav H Lubbe;romance;1
The Turn of the Key;Ruth Ware;1501188798;2019;Gallery Books;thriller;1
Lady Chatterley's Lover;David Herbert Lawrence;9780795300899;1900;Eksmo (M.);fiction;1
Pizza and the Elusive Quest;Emmalynn Hammond;9826417142117;2022;Keybook Publishing;mystery;0
Inés del alma mía;Isabel Allende;000724116X;2006;DEBOLS!LLO;thriller;1
A Guide to Earning the Penguin;Axl Wyatt;5602025668877;2019;P F Collier & Son;thriller;0
Murder in Mesopotamia;Agatha Christie;9781572702141;1936;Dell Publishing Company;mystery;1
The Hollow;Agatha Christie;9780008129583;1946;Samuel French, Inc.;mystery;1
Perfect;Sara Shepard;9780060887384;2007;HarperCollins;mystery;1
Fear Street - Into The Dark;R. L. Stine;0613080777;1997;Simon & Schuster, Limited;mystery;1
The Woodlanders;Thomas Hardy;0007558023;1800;Heron Books;romance;1
The Price of Salt;Patricia Highsmith;8845247899;1952;LGF;mystery;1
My Secret Life;Walter;039417397X;1966;HarperCollins Publishers Limited;romance;1
Educated Hearing: A Memoir;Kye Weber;6248602976807;1999;Leopold Classic Library;fiction;0
The boy from the woods;Harlan Coben;1529123836;2020;Grand Central Publishing, a division of Hachette Book Group, Inc.;thriller;1
The Tommyknockers;Stephen King;9781501144288;1985;Pocket Books;fiction;1
The Green Fairy Book (Large Print);Andrew Lang;1656181991;1892;Blurb, Incorporated;fantasy;1
Lo strano caso del fantasma al Grand Hotel;Elisabetta Dami;1536449210;2005;Albin Michel Jeunesse;mystery;1
Chronicles of Loving Clothes Kingdom;Paxton House;2075035406135;1909;Thalassic Press;thriller;0
The Secret of the Guitar;Antonio Stout;3783715255079;2008;Delphin Verlag;fiction;0
Escape from the Handy Article;Jaiden Bond;9594059212875;2008;Naufaul;fiction;0
A Long Walk to Water( Linda Sue Park);Linda Sue Park;9781501237553;2008;Full Cast Audio;fiction;1
Power Play;Joseph Finder;0755342062;2007;Audio Renaissance;thriller;1
The Pelican Brief;John Grisham;0307576175;1992;Bantam Books;fiction;1
The Murders in the Rue Morgue;Edgar Allan Poe;109572777X;1895;Lulu.com;fiction;1
Dodger;Terry Pratchett;0062009508;2012;Random House Children's Books;fantasy;1
Possessive Pizza: A Memoir;Amoura Friedman;5643125530240;1975;Berkley Publishing Group;romance;0
The Chronicles of the Fanatical Dragon;Johanna Alvarez;5458722393655;1971;Brand: Dove Entertainment Inc;romance;0
Withdrawing the Oceanic Microwave;Mckenna Nguyen;3927125230434;1907;Fictionwise, Inc.;mystery;0
The Apprentice (Jane Rizzoli, Book 2);Tess Gerritsen;9780345447869;2002;Transworld;mystery;1
The Last Unexpected Engineering;Ambrose King;4692022350031;1934;Chivers North America;mystery;0
Encountering the Perfect Decision;Kian Johns;3679734039991;1947;Brand: Oneworld Classics;romance;0
Diary of a Wasteful Ability;Charlie Moreno;7585700630540;1979;Bonnier;fantasy;0
A Guide to Tameing the Mom;Itzayana Graham;1864462946804;1984;ZETA BOLSILLO;romance;0
A Kind of Magic;Betty Neels;9780263130324;1991;Harlequin Mills & Boon, Limited;romance;1
Black notice;Patricia Cornwell;0399145222;1999;Putnam;thriller;1
The Rise and Fall of the Bent Energy;Kimberly Ahmed;6758204208971;1957;Samvada Prakasana;fantasy;0
The Vigorous History;Truett Salgado;6544336888312;1936;Paryski;romance;0
The Rise and Fall of the Purring Pizza;Chris Trejo;8666784091413;1901;Printed for the members of the Limited Editions Club at the University Press;romance;0
A Guide to Destroying the Ability;Laila Abbott;7853579670980;1937;Generic;mystery;0
Memoirs of a Wacky Penguin;Jerrod Hayes;3939015286970;1907;Karelii͡a︡;romance;0
Il tesoro Della Nave Vichinga;Elisabetta Dami;9781597078191;2009;PaperCutZ;mystery;1
Amulet, Book Three;Kazu Kibuishi;9781407180779;2008;Penworthy Company, LLC, The;fantasy;1
The Rise and Fall of the Flying Instance;Ayleen Keller;3410254692404;2004;Cecilie Dressler;mystery;0
The Famished Road;Ben Okri;9780099929307;1991;Audible Studios on Brilliance;fantasy;1
The Immortals of Meluha;Amish Tripathi;9380658745;2010;Westland Books Pvt Ltd;fantasy;1
Spotty Version: A Memoir;Annika Ponce;1140559000200;1993;General Press;romance;0
The Last Friendly Jeep;Willa Valenzuela;4830346486340;1958;Z & L Barnes Publishing;mystery;0
A Day No Pigs Would Die;Robert Newton Peck;9780807285299;1972;Recorded Books;thriller;1
The History of Love;Nicole Krauss;0393328627;2005;W. W. Norton;romance;1
Black Friday;James Patterson;9780606287845;1986;Harper;fiction;1
Triple;Ken Follett;0451094476;1979;G.K. Hall;mystery;1
Skinny dip;Carl Hiaasen;9781471296475;2004;Transworld Publishers Limited;thriller;1
Knots and Crosses;Ian Rankin;9780340487662;1987;Orion Books;mystery;1
Adventures in Wizard Land;Rogelio Hodge;9297947946428;2005;Slatkine;thriller;0
How to Score a Toast;Zayden Newton;6011961675072;1901;Hayakawa Pub.;mystery;0
Yeti and the Hanging Quest;Emilio Woodward;5356078565780;1945;Rastro Digital;fantasy;0
Slade House;David Mitchell;9781473617377;2015;Sceptre;mystery;1
Bartleby, the Scrivener;Herman Melville;9798643533689;1966;Bartleby Press;fiction;1
The Bustling Pizza;Armani Patton;1255361991198;2024;Aladdin Paperbacks;fantasy;0
Snowbound Mystery;Gertrude Chandler Warner;080757452X;1968;Demco Media;mystery;1
Smaragdgrün;Kerstin Gier;6053431079;2010;Milan;fantasy;1
V for Vendetta;Alan Moore;9788418326943;1988;Vertigo, DC Comics;mystery;1
My Life as a Shiny Engineering;Zola Townsend;5947464705963;1935;Alakarga Yayinlari;romance;0
Adventures in Paper Land;Gabrielle Wheeler;7151308301811;1916;Ediciones Urano;fiction;0
The Book of the Dead;Ernest Alfred Wallis Budge;1402185995;1894;eBooksLib;fiction;1
Diary of a Omniscient Assumption;Nasir Wolfe;9625566648526;1902;Random House Worlds;fantasy;0
Mademoiselle Fifi;Guy de Maupassant;9782211080446;1882;Garnier : Flammarion;fantasy;1
Diary of a Confused Farmer;Mack Bauer;9270355613202;1911;Start Classics;fantasy;0
Consistent Concept: A Memoir;Bruno Strickland;9304038069773;2009;C. Scribner's Sons;fiction;0
Journey to the Perfect Energy;Dayton Henry;1210331776750;2006;Hampton-Brown;fiction;0
Impartial Passion: A Memoir;Aaliyah McCullough;8744374912337;1967;Pantheon books,Wolff, NYC;mystery;0
Escape from the Innate Contract;Addilyn Berg;7548828539856;2003;Unique Coloring;mystery;0
Every Wise Man;Jacqueline Gilbert;9780373021024;1977;Harlequin Books;romance;1
Life, the Universe and Everything;Douglas Adams;2070417514;1900;GOLLANCZ;fiction;1
Summoning the Unexpected Energy;Tessa Bentley;7328831883302;2022;Livre de Poche Jeunesse;romance;0
Tales of a Cowardly Desk;Terrance Franklin;1003254980447;1908;Barд;thriller;0
Simple Genius;David Baldacci;9780446194334;2007;Pan Books;thriller;1
The Chronicles of the Voracious Assistant;Dennis Hayes;8575533583429;1977;Tres i quatre;fantasy;0
Pet Sematary;Stephen King;9782277222668;1925;AST;fiction;1
My Life as a Wacky Article;Halo Lewis;8010580283166;1912;Klett Sprachen GmbH;mystery;0
Stealing Shadows (Shadows Trilogy;Kay Hooper;9780786230617;1997;Orion;thriller;1
Tiping the Faithful Magazine;River Watkins;6755456759755;1963;Izd-vo I.P. Ladyzhnikova;fantasy;0
Those Who Walk Away;Patricia Highsmith;0099448602;1967;Rowohlt Taschenbuch Verlag;thriller;1
Faithful Farmer: A Memoir;Averi Middleton;3494342125671;1945;Barnes & Noble Children's Classics;fiction;0
Inner Mom: A Memoir;Amelie Freeman;7451452485502;1998;McGraw-Hill/Contemporary Books;thriller;0
Phantoms;Dean Koontz;9781581650723;1983;Pocket;fiction;1
My Life as a Purring Ability;Jett Garcia;3229208431438;1977;Diana;romance;0
How to Attack a Instance;Kate Krueger;3884430937110;1978;Alianza Emecé;fantasy;0
The Secret of the Jeep;Eddie Harrington;6033101411286;1998;Cle;mystery;0
Beautiful Stories from Shakespeare;Edith Nesbit;1546687017;1907;Liese. Outside The Box, Andreas;fiction;1
King Henry IV. Part 1;William Shakespeare;0393042340;1598;Clarendon P.;fiction;1
Adventures in Recommendation Land;Gwendolyn Alvarado;4362078174047;1908;HOFFMANN UND CAMPE Verlag;romance;0
The School for Good and Evil #4;Soman Chainani;9780062658487;2013;HarperCollins Publishers Limited;fantasy;1
Handy Region: A Memoir;Beckham Delarosa;6569009197673;1995;Scholastic, by arrangement with HarperCollins Children's Books;mystery;0
Journey to the Bent Clothes;Erick Cardenas;2876195288031;1998;Finisterra Books;mystery;0
Escape from the Educated Throat;Melina Ponce;7463418436537;1976;Nova Fronteira;mystery;0
The Brethren;John Grisham;902298477X;2000;Ullstein Hörverlag;thriller;1
The Glimpses of the Moon;Edith Wharton;1434615758;1922;Brand: Scribner;romance;1
The Great Automatic Grammatizator and Other Stories;Roald Dahl;9788491220695;1982;Puffin;mystery;1
Savage Interlude;Carole Mortimer;9781474030229;1979;Harlequin Enterprises, Limited;romance;1
Journey to the Twisted Affair;Harlee Woods;5674708434124;1996;Childrens Pr;mystery;0
The Observant Version;Karla Wise;2228721952438;2012;Familius LLC;fiction;0
Tempted;Megan Hart;9781426810848;2008;Spice;romance;1
O Pioneers!;Willa Cather;9780803264373;1913;Blurb, Incorporated;fiction;1
The Chronicles of the Triumphant Zombie;Kyree Stephens;2971848456286;1934;ALGAR EDITORIAL;mystery;0
A Guide to Interrupting the Gate;Valeria Valdez;2087919933585;1984;Unicorn Press;mystery;0
The Secret of the Concept;Aylin Skinner;3336907566060;1931;Pocket Books No. 63;romance;0
Diary of a Golden Wizard;Alistair McBride;4413899533233;1945;The Bobbs-Merrill Company;fantasy;0
Journey to the Adjoining Length;Nikolas Hoffman;9818685681469;1961;SUSAETA;thriller;0
Alanna;Tamora Pierce;9781484484364;1954;Hachette Jeunesse;fantasy;1
The Gabriel Hounds;Mary Stewart;9781444720549;1967;The Companion Book Club;thriller;1
The Demigod Diaries;Rick Riordan;9781423178064;2012;Penguin Books, Limited;fantasy;1
The Navigator;Clive Cussler;9780399154195;2005;Blanvalet;thriller;1
Maskerade;Terry Pratchett;9781409082897;1995;Goldmann;fantasy;1
Der Kardinal im Kreml;Tom Clancy;9782738206053;1988;Simon & Schuster Audio;thriller;1
Memoirs of a Loving Zombie;Alexandria Arellano;7461303802683;1980;Macmillan and Co. Limited;mystery;0
Escape from the Bizarre Farmer;Rhys Reilly;2686288928765;1903;Daily Express Publications;fiction;0
Gerusalemme liberata;Torquato Tasso;9780548276563;1581;Nemi;fiction;1
Against The Rules;Linda Howard;0671474022;1983;Silhouette;romance;1
A Suitable Boy;Vikram Seth;9780563496663;1993;Weidenfeld & Nicolson;fiction;1
Adventures in Responsibility Land;Griffin Rocha;3422703891613;2005;JC Lattes;mystery;0
Dark River;Erin Hunter;9780062367099;2007;Turtleback;fantasy;1
History and the Former Quest;Marcus Dougherty;9237573230626;1917;Coordination Group Publication;thriller;0
Rubyfruit Jungle;Rita Mae Brown;0553111477;1973;Penguin Books, Limited;fiction;1
My Life as a Possessive Article;Joe Aguilar;1660518892381;1994;Penguin Classicos;mystery;0
Tales of a Oceanic Employer;Rylie Long;2788196559485;1984;Wildside Classics;fiction;0
Journey to the Hospitable Phone;Erin Gray;5069971411186;1951;Heinemann Educational;thriller;0
The Chronicles of the Roomy World;Fallon Graham;2288863849528;1999;Charles Scribner's Sons;mystery;0
Encountering the Extra-small Spaceship;Daphne Warner;2498161989643;1931;Pax;fantasy;0
Close to home;Lisa Jackson;9781444793284;2014;Hodder & Stoughton;thriller;1
Adventures in Steak Land;Nia Maynard;5426352001683;2015;Gr(4)(Bnd;mystery;0
Escape from the Elusive Election;Gustavo Salinas;9577236126459;1956;Gakushū Kenkyūsha;mystery;0
Escape from the Confused Length;Archer McGee;5967468198710;2006;J. P. Lippincott;romance;0
Tales of a Elusive Article;Raylan Ferguson;2629302965120;1943;Epos;romance;0
Journey to the Military Article;Izaiah Schmidt;9987433410807;1920;Parragon;romance;0
Wereworld (Rise of the Wolf);Curtis Jobling;9780670013302;2011;Viking Childrens Books;fantasy;1
The Rise and Fall of the Whimsical Mole;Joshua Stephenson;8468759063141;1930;Henry Altemus;mystery;0
Madeleine;Ludwig Bemelmans;0735301379;1920;Diogenes;fiction;1
